,SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE,YFTicker,EPS
207,BDL,Bharat Dynamics Limited,EQ,23-Mar-18,10,1,INE171Z01018,10,BDL.NS,14.06
208,BEARDSELL,Beardsell Limited,EQ,13-Jan-15,2,1,INE520H01022,2,BEARDSELL.NS,-0.626
209,BECTORFOOD,Mrs. Bectors Food Specialities Limited,EQ,24-Dec-20,10,1,INE495P01012,10,BECTORFOOD.NS,11.96
210,BEDMUTHA,Bedmutha Industries Limited,EQ,14-Oct-10,10,1,INE844K01012,10,BEDMUTHA.NS,-26.52
211,BEL,Bharat Electronics Limited,EQ,19-Jul-00,1,1,INE263A01024,1,BEL.NS,8.62
212,BEML,BEML Limited,EQ,05-Nov-03,10,1,INE258A01016,10,BEML.NS,16.5
213,BEPL,Bhansali Engineering Polymers Limited,EQ,21-Mar-05,1,1,INE922A01025,1,BEPL.NS,20.126
214,BERGEPAINT,Berger Paints (I) Limited,EQ,24-Nov-99,1,1,INE463A01038,1,BERGEPAINT.NS,7.41
215,BESTAGRO,Best Agrolife Limited,EQ,22-Feb-21,10,1,INE052T01013,10,BESTAGRO.NS,12.269
216,BFINVEST,BF Investment Limited,EQ,14-Jan-11,5,1,INE878K01010,5,BFINVEST.NS,70.89
217,BFUTILITIE,BF Utilities Limited,EQ,03-May-07,5,1,INE243D01012,5,BFUTILITIE.NS,-5.568
218,BGRENERGY,BGR Energy Systems Limited,EQ,03-Jan-08,10,1,INE661I01014,10,BGRENERGY.NS,-41.872
219,BHAGCHEM,Bhagiradha Chemicals & Industries Limited,EQ,18-Oct-21,10,1,INE414D01019,10,BHAGCHEM.NS,0
220,BHAGERIA,Bhageria Industries Limited,EQ,02-Mar-16,5,1,INE354C01027,5,BHAGERIA.NS,14.36
221,BHAGYANGR,Bhagyanagar India Limited,EQ,17-May-17,2,1,INE458B01036,2,BHAGYANGR.NS,1.09
222,BHAGYAPROP,Bhagyanagar Properties Limited,EQ,20-Jul-17,2,1,INE363W01018,2,BHAGYAPROP.NS,0.66
223,BHANDARI,Bhandari Hosiery Exports Limited,EQ,30-Jan-17,1,1,INE474E01029,1,BHANDARI.NS,0.02
224,BHARATFORG,Bharat Forge Limited,EQ,04-Apr-03,2,1,INE465A01025,2,BHARATFORG.NS,-2.71
225,BHARATGEAR,Bharat Gears Limited,EQ,03-Apr-96,10,1,INE561C01019,10,BHARATGEAR.NS,-8.27
226,BHARATRAS,Bharat Rasayan Limited,EQ,11-Oct-95,10,1,INE838B01013,10,BHARATRAS.NS,360.819
227,BHARATWIRE,Bharat Wire Ropes Limited,EQ,01-Apr-16,10,1,INE316L01019,10,BHARATWIRE.NS,-12.74
228,BHARTIARTL,Bharti Airtel Limited,EQ,15-Feb-02,5,1,INE397D01024,5,BHARTIARTL.NS,-38.748
229,BHEL,Bharat Heavy Electricals Limited,EQ,11-Nov-03,2,1,INE257A01026,2,BHEL.NS,-7.75
230,BIGBLOC,Bigbloc Construction Limited,EQ,02-Sep-16,10,1,INE412U01017,10,BIGBLOC.NS,0.179
231,BIL,Bhartiya International Limited,EQ,12-Apr-00,10,1,INE828A01016,10,BIL.NS,-7.658
232,BINDALAGRO,Oswal Chemicals & Fertilizers Limited,EQ,28-Aug-96,10,1,INE143A01010,10,BINDALAGRO.NS,2.602
233,BIOCON,Biocon Limited,EQ,07-Apr-04,5,1,INE376G01013,5,BIOCON.NS,6.19
234,BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited,EQ,12-Jun-96,10,1,INE829A01014,10,BIOFILCHEM.NS,1.11
235,BIRLACABLE,Birla Cable Limited,EQ,06-Dec-95,10,1,INE800A01015,10,BIRLACABLE.NS,2.73
236,BIRLACORPN,Birla Corporation Limited,EQ,12-Apr-95,10,1,INE340A01012,10,BIRLACORPN.NS,81.83
237,BIRLAMONEY,Aditya Birla Money Limited,EQ,07-Feb-08,1,1,INE865C01022,1,BIRLAMONEY.NS,2.8
